模型,编号,评价项,正确匹配,应有,输出,召回率,精确率
Qwen,01,题名,1,1,1,1.0,1.0
Qwen,01,作者姓名,3,3,3,1.0,1.0
Qwen,01,作者顺序,3,3,3,1.0,1.0
Qwen,01,作者单位,2,2,2,1.0,1.0
Qwen,01,作者—单位关系,4,4,4,1.0,1.0
Qwen,01,通讯作者—邮箱关系,5,5,5,1.0,1.0
Qwen,01,作者—ORCID 关系,3,3,3,1.0,1.0
Qwen,01,稿件日期,3,3,3,1.0,1.0
Qwen,01,摘要内容,1,1,1,1.0,1.0
Qwen,01,摘要分段与分节,1,1,1,1.0,1.0
Qwen,01,关键词,5,5,5,1.0,1.0
Qwen,01,章节层级与标题,15,15,15,1.0,1.0
Qwen,01,章节顺序,15,15,15,1.0,1.0
Qwen,01,术语—释义条目,0,0,0,,
Qwen,01,文末声明与附属章节,5,5,5,1.0,1.0
Qwen,01,图对象,1,1,1,1.0,1.0
Qwen,01,图注内容,1,1,1,1.0,1.0
Qwen,01,表对象,4,4,4,1.0,1.0
Qwen,01,表题内容,4,4,4,1.0,1.0
Qwen,01,表注内容,2,4,4,0.5,0.5
Qwen,01,表格网格位置与内容,624,624,624,1.0,1.0
Qwen,01,图片资源及图表归属,5,5,5,1.0,1.0
Qwen,01,原生公式数学树,10,10,10,1.0,1.0
Qwen,01,公式图片资源,2,2,2,1.0,1.0
Qwen,01,参考文献条目覆盖,39,39,39,1.0,1.0
Qwen,01,文献著录字段,207,220,208,0.9409090909090909,0.9951923076923077
Qwen,01,正文—文献引用关系,72,83,78,0.8674698795180723,0.9230769230769231
Qwen,01,正文—图表引用关系,10,10,10,1.0,1.0
Qwen,01,全文文字保留,12073,12109,12156,0.9970270047072426,0.9931720960842383
Qwen,02,题名,1,1,1,1.0,1.0
Qwen,02,作者姓名,5,5,5,1.0,1.0
Qwen,02,作者顺序,5,5,5,1.0,1.0
Qwen,02,作者单位,2,2,2,1.0,1.0
Qwen,02,作者—单位关系,5,5,5,1.0,1.0
Qwen,02,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,02,作者—ORCID 关系,2,2,2,1.0,1.0
Qwen,02,稿件日期,0,0,0,,
Qwen,02,摘要内容,1,1,1,1.0,1.0
Qwen,02,摘要分段与分节,1,1,1,1.0,1.0
Qwen,02,关键词,4,4,4,1.0,1.0
Qwen,02,章节层级与标题,28,28,28,1.0,1.0
Qwen,02,章节顺序,28,28,28,1.0,1.0
Qwen,02,术语—释义条目,0,0,0,,
Qwen,02,文末声明与附属章节,2,2,2,1.0,1.0
Qwen,02,图对象,4,4,4,1.0,1.0
Qwen,02,图注内容,4,4,4,1.0,1.0
Qwen,02,表对象,8,8,8,1.0,1.0
Qwen,02,表题内容,8,8,8,1.0,1.0
Qwen,02,表注内容,0,0,0,,
Qwen,02,表格网格位置与内容,0,0,0,,
Qwen,02,图片资源及图表归属,12,12,12,1.0,1.0
Qwen,02,原生公式数学树,0,0,0,,
Qwen,02,公式图片资源,0,0,0,,
Qwen,02,参考文献条目覆盖,69,69,69,1.0,1.0
Qwen,02,文献著录字段,462,465,466,0.9935483870967742,0.9914163090128756
Qwen,02,正文—文献引用关系,65,74,74,0.8783783783783784,0.8783783783783784
Qwen,02,正文—图表引用关系,13,13,13,1.0,1.0
Qwen,02,全文文字保留,11420,11429,11477,0.9992125295301426,0.9950335453515727
Qwen,03,题名,1,1,1,1.0,1.0
Qwen,03,作者姓名,9,9,9,1.0,1.0
Qwen,03,作者顺序,9,9,9,1.0,1.0
Qwen,03,作者单位,3,3,3,1.0,1.0
Qwen,03,作者—单位关系,9,9,9,1.0,1.0
Qwen,03,通讯作者—邮箱关系,1,1,1,1.0,1.0
Qwen,03,作者—ORCID 关系,7,7,7,1.0,1.0
Qwen,03,稿件日期,2,2,2,1.0,1.0
Qwen,03,摘要内容,1,1,1,1.0,1.0
Qwen,03,摘要分段与分节,1,1,1,1.0,1.0
Qwen,03,关键词,5,5,5,1.0,1.0
Qwen,03,章节层级与标题,19,19,19,1.0,1.0
Qwen,03,章节顺序,19,19,19,1.0,1.0
Qwen,03,术语—释义条目,0,0,0,,
Qwen,03,文末声明与附属章节,8,8,8,1.0,1.0
Qwen,03,图对象,5,5,5,1.0,1.0
Qwen,03,图注内容,5,5,5,1.0,1.0
Qwen,03,表对象,3,3,3,1.0,1.0
Qwen,03,表题内容,3,3,3,1.0,1.0
Qwen,03,表注内容,2,2,2,1.0,1.0
Qwen,03,表格网格位置与内容,149,149,149,1.0,1.0
Qwen,03,图片资源及图表归属,5,5,5,1.0,1.0
Qwen,03,原生公式数学树,16,16,16,1.0,1.0
Qwen,03,公式图片资源,0,0,0,,
Qwen,03,参考文献条目覆盖,56,56,56,1.0,1.0
Qwen,03,文献著录字段,329,329,329,1.0,1.0
