配置,编号,耗时/秒,输入,输出,缓存命中,缓存未命中,总量,折算成本/元
Qwen,01,100.784,516193,62357,86016,430177,578550,1.11489312
Qwen,02,145.922,600588,135549,327936,272652,736137,1.40869632
Qwen,03,87.983,498410,79729,323968,174442,578139,0.89304256
Qwen,04,429.681,1004845,245682,302080,702765,1250527,2.7934544
Qwen,05,225.186,536634,119681,77824,458810,656315,1.52495808
Qwen,S01,61.872,445859,48550,58368,387491,494409,0.94938336
Qwen,S02,86.716,741947,74968,551296,190651,816915,0.96125152
Qwen,S03,46.498,532232,35241,324992,207240,567473,0.66112384
Qwen,S04,77.674,469350,62876,304256,165094,532226,0.76391872
Qwen,S05,96.647,469473,63546,304256,165217,533019,0.76840352
Qwen,X01,51.617,567391,81981,307072,260319,649372,1.03945184
Qwen,X02,59.282,449532,38480,304256,145276,488012,0.57607552
Qwen,X03,69.765,463396,48051,304256,159140,511447,0.65951232
Qwen,X04,117.464,582077,92907,304256,277821,674984,1.13648032
DeepSeek,01,29.705,478304,66017,467446,10858,544321,0.56854984
DeepSeek,02,340.241,572893,327078,556149,16744,899971,2.67235796
DeepSeek,03,29.19,462398,76320,448991,13407,538718,0.65533364
DeepSeek,04,52.301,844251,177495,813231,31020,1021746,1.51452924
DeepSeek,05,31.596,493241,73263,483189,10052,566504,0.62553556
DeepSeek,S01,13.032,410265,41235,403067,7198,451500,0.36039868
DeepSeek,S02,25.481,683649,70606,673004,10645,754255,0.61305816
DeepSeek,S03,19.862,474720,39539,468093,6627,514259,0.34828972
DeepSeek,S04,21.773,452484,63363,441968,10516,515847,0.54561472
DeepSeek,S05,19.489,430137,59002,420072,10065,489139,0.50894888
DeepSeek,X01,21.42,558599,57426,547711,10888,616025,0.50309244
DeepSeek,X02,17.062,440386,42946,431610,8776,483332,0.3783844
DeepSeek,X03,16.98,431567,50025,421491,10076,481592,0.43721164
DeepSeek,X04,29.419,536498,82999,519915,16583,619497,0.7179546
